Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	tree_length
0	-47.59882	-91.80966	44.21084	0.0166088	0.0178773	0.00356177	0.014862	0.0135264	0.0123064	0.00619174	0.0492183	0.00232272	0.0242453	0.0107937	0.0067843	0.00121381	0.0274877	0.0179286	0.0157983	0.0113745	0.0195462	0.0413455	0.0570435	0.000805429	0.00190862	0.0103159	0.0352193	0.034142	0.05798	0.0378918	0.012262	0.00712299	0.00720841	0.006494	0.0111292	0.000672068	0.00920459	0.0090634	0.301665	1.29097	0.336183	0.587638	0.847162	1.18041	1.70173	2.97457	0.7882168	0.09736351	0.0271627	0.0292372	0.00582506	0.0243058	0.0221216	0.0201264	0.0101262	0.0804936	0.00379867	0.0396518	0.0176524	0.0110953	0.0019851	0.0449545	0.0293211	0.0258371	0.0186023	0.0319666	0.067618	0.0932913	0.00131723	0.00312143	0.016871	0.057599	0.0558372	0.0948227	0.0619697	0.0200537	0.0116492	0.0117889	0.0106205	0.0182011	0.00109913	0.0150536	0.0148226	0.6114564
36	-50.05599	-94.68148	44.62548	0.0105588	0.101505	0.0181565	0.00100693	0.0384994	0.00425444	0.0188004	0.00400449	0.0134441	0.0413343	0.0136691	0.0158069	0.000989447	0.0293931	0.00522858	0.00926428	0.00339654	0.0466418	0.00100537	0.0451421	0.000252097	0.020013	0.0124946	0.0173142	0.0250516	0.0425161	0.0203934	0.00480963	0.0237112	0.0575444	0.00314729	0.0541453	0.00050643	0.0328752	0.00283702	0.483737	1.21511	0.933879	0.967188	0.989645	1.01046	1.03393	1.0708	0.0494636	0.1658757	0.0142741	0.137222	0.0245453	0.00136124	0.0520464	0.00575148	0.0254158	0.00541358	0.0181747	0.0558789	0.0184789	0.021369	0.00133761	0.0397358	0.00706839	0.0125242	0.00459171	0.0630539	0.00135913	0.0610265	0.000340804	0.0270551	0.0168911	0.0234066	0.0338667	0.0574765	0.0275694	0.00650202	0.0320546	0.0777929	0.00425474	0.0731978	0.000684631	0.0444432	0.00383531	0.7397127
72	-56.82252	-101.4924	44.66985	0.0147601	0.00970357	0.0285877	0.0506127	0.0245246	0.00287006	0.0107512	0.0288571	0.0119984	0.0124619	0.00506769	0.0060388	0.00767692	0.0289629	0.000697135	0.0108684	0.0184883	0.0045443	0.00976567	0.0180233	0.00717647	0.00893956	0.0125018	0.00311433	0.00592243	0.0062734	0.0334634	0.0127972	0.0270263	0.00644089	0.028115	0.037231	0.0824376	0.00871207	0.00439215	0.2984	1.29233	0.623636	0.794305	0.930675	1.07449	1.25896	1.6035	0.3414248	0.09620844	0.0250253	0.0164522	0.0484698	0.0858128	0.0415809	0.00486612	0.0182284	0.0489265	0.020343	0.0211289	0.00859216	0.0102387	0.0130161	0.0491059	0.00118198	0.0184271	0.0313465	0.00770475	0.0165575	0.0305582	0.0121675	0.0151568	0.0211964	0.00528028	0.0100414	0.0106364	0.0567365	0.0216973	0.0458225	0.0109204	0.0476683	0.0631243	0.139771	0.0147711	0.00744679	0.5898041
108	-54.12815	-98.4572	44.32905	0.00500948	0.0162264	0.0328415	0.0766523	0.0387342	0.0161052	0.00909801	0.0117683	0.0146479	0.0267951	0.0276442	0.0195611	0.0334999	0.0375568	0.0270289	0.0166199	0.0194582	0.0380415	0.0492934	0.0851611	0.0367795	0.00424371	0.00364875	0.0313123	0.00061634	0.00119939	0.00832613	0.0383462	0.0333486	0.0234796	0.0186352	0.00245834	0.0698837	0.000747236	0.009263	0.406103	1.24746	0.62377	0.794389	0.930705	1.07445	1.25883	1.60315	0.3412692	0.1356437	0.00566663	0.018355	0.0371496	0.0867076	0.0438154	0.0182179	0.0102915	0.0133121	0.0165694	0.0303102	0.0312706	0.0221272	0.0378944	0.0424835	0.0305746	0.0188002	0.0220107	0.0430318	0.0557598	0.0963326	0.0416043	0.0048004	0.0041274	0.0354199	0.000697193	0.00135673	0.00941837	0.0433765	0.0377233	0.0265597	0.0210798	0.00278083	0.0790511	0.000845259	0.0104781	0.8840313
144	-49.80055	-94.45741	44.65686	0.00172437	0.0269964	0.0289126	0.0096732	0.0314292	0.00827516	0.0222258	0.013661	0.00838131	0.0256148	0.0234284	0.00753526	0.0151561	0.0218774	0.0189153	0.0173573	0.0198475	0.00934005	0.00769814	9.29967e-05	0.0206452	0.00864606	0.0291967	0.0249802	0.0131643	0.0062756	0.0207206	0.0304149	0.0202348	0.0125508	0.0159734	0.0106242	0.00806302	0.000948775	0.0248037	0.0171303	1.40953	0.502005	0.714553	0.900454	1.11055	1.39948	1.99201	0.4982992	0.005063824	0.00304991	0.0477488	0.0511379	0.0171091	0.0555891	0.0146363	0.0393109	0.0241623	0.0148241	0.0453051	0.0414379	0.0133277	0.0268067	0.0386948	0.0334557	0.0307	0.0351045	0.0165198	0.0136158	0.000164484	0.0365153	0.0152924	0.0516404	0.0441827	0.0232838	0.0110997	0.0366486	0.053795	0.0357894	0.0221987	0.0282524	0.0187911	0.0142611	0.00167811	0.0438705	0.5653845
180	-51.28168	-95.75553	44.47385	0.0248082	0.00250171	0.0318474	0.00289925	0.0501934	0.000958385	0.00426041	0.00236537	0.0416513	0.0348894	0.034715	0.0014059	0.0206985	0.0561334	0.008578	0.0199911	0.00475997	0.0428317	0.0114326	0.0152086	0.00140159	0.0177325	0.00324887	0.00683347	0.0223135	0.0671721	0.00368624	0.000734687	0.0276176	0.0100141	0.00330263	0.0948316	0.0527452	0.0113788	0.0178147	0.570731	1.17886	0.895524	0.947606	0.983351	1.01693	1.05529	1.11666	0.07978784	0.2017238	0.0329477	0.00332251	0.0422965	0.00385049	0.0666617	0.00127283	0.00565824	0.00314143	0.0553169	0.0463365	0.0461049	0.00186717	0.0274896	0.0745506	0.0113924	0.0265502	0.0063217	0.0568847	0.0151836	0.0201985	0.00186144	0.0235504	0.00431481	0.00907551	0.0296344	0.0892111	0.00489568	0.000975735	0.0366789	0.0132997	0.0043862	0.125946	0.0700507	0.0151122	0.0236596	0.7529574
216	-52.05988	-96.76051	44.70063	0.0101612	0.0410828	0.0276651	0.00289778	0.0120449	0.00256974	0.0161057	0.0282627	0.00598079	0.0125963	0.023107	0.0219871	2.20695e-05	0.0256638	0.00358552	0.00650467	0.0253455	0.00511449	0.015251	0.0203166	8.09019e-05	0.058744	0.0243929	0.00984131	0.00883576	0.125534	0.0108796	0.00263496	0.030578	0.0362702	0.00644178	0.0409244	0.0816933	0.0325609	0.0164684	0.129264	1.36281	0.521378	0.727871	0.905657	1.10417	1.37387	1.918	0.4709207	0.03952128	0.0128275	0.0518628	0.0349243	0.00365815	0.0152055	0.00324403	0.0203317	0.0356787	0.00755012	0.0159015	0.0291701	0.0277564	2.78605e-05	0.0323979	0.00452635	0.00821146	0.031996	0.00645651	0.0192528	0.0256476	0.00010213	0.0741582	0.0307935	0.0124236	0.0111542	0.158473	0.0137344	0.00332637	0.0386015	0.0457874	0.00813207	0.0516628	0.103129	0.0411047	0.0207897	0.7921448
252	-51.01522	-95.62149	44.60627	0.00196387	0.0140764	0.011097	0.0151753	0.00905652	5.05293e-05	0.00727894	0.0188434	0.0083123	0.0099092	0.00596916	0.00510615	2.7745e-05	0.0167429	0.0029058	0.0135617	0.00304395	0.00730298	0.00791382	0.0150921	0.000697331	0.00271353	0.0448283	0.0117719	0.0133056	0.00317387	0.00118846	0.00280565	0.0173958	0.0130617	0.0420534	0.0256573	0.0214451	0.00251398	0.00481867	0.0435612	1.39852	0.372196	0.617539	0.860382	1.16228	1.61933	2.68676	0.7146343	0.0129784	0.00515641	0.0369594	0.0291366	0.0398448	0.0237791	0.000132671	0.0191118	0.0494758	0.0218251	0.0260179	0.0156728	0.0134069	7.28481e-05	0.0439607	0.00762957	0.0356081	0.00799231	0.019175	0.0207788	0.0396264	0.00183094	0.00712473	0.117703	0.0309088	0.0349356	0.00833343	0.00312046	0.0073666	0.0456751	0.0342953	0.110417	0.0673666	0.0563071	0.0066008	0.0126521	0.3808605
288	-63.34468	-107.7444	44.3997	0.0136664	0.0123454	0.0233355	0.00777114	0.0368714	0.00852082	0.000913537	0.00522914	0.0279591	0.038805	0.0135774	0.0107203	2.09546e-05	0.0673792	0.00138466	0.0155857	0.00775654	0.000223853	0.00324292	0.0398769	0.00964839	0.0142478	0.0217191	0.0130592	0.0062218	0.000198326	0.0548834	0.0104935	0.0342256	0.0183455	0.0180951	0.0340163	0.00629617	0.00230268	0.0139162	0.604176	1.16493	0.765519	0.877819	0.96016	1.04149	1.13919	1.3063	0.1932048	0.2160994	0.0230519	0.0208237	0.0393612	0.013108	0.0621929	0.0143725	0.00154091	0.00882027	0.0471601	0.0654544	0.0229017	0.0180825	3.53453e-05	0.113652	0.00233559	0.0262893	0.0130834	0.000377585	0.00547	0.0672625	0.0162745	0.0240325	0.0366348	0.0220277	0.0104946	0.000334526	0.0925748	0.0177	0.0577302	0.0309443	0.0305219	0.0573771	0.0106201	0.00388404	0.0234731	0.592855
324	-56.26676	-99.38019	43.11342	0.0569878	0.0180586	0.00691064	0.00352483	0.0359504	0.039299	0.0100384	0.0130193	0.0136743	0.0297468	0.00625685	0.0616169	2.79114e-05	0.0535939	0.00609908	0.00476156	0.0101986	0.000343362	0.00584324	0.0220658	0.010925	0.0499249	0.0589274	0.0210965	0.017904	0.0112974	0.0214118	0.00179602	0.0224238	0.00246297	0.0856269	0.0206939	0.0419608	0.0246305	0.0171065	1.31695	0.867939	0.464933	0.688312	0.890004	1.12359	1.45283	2.15085	0.5537712	0.6322192	0.0706865	0.0223995	0.0085718	0.00437212	0.0445921	0.0487456	0.0124514	0.0161488	0.0169613	0.0368973	0.00776086	0.0764283	3.46207e-05	0.0664767	0.00756516	0.00590614	0.0126501	0.000425898	0.00724783	0.0273699	0.0135511	0.0619258	0.0730923	0.0261676	0.0222077	0.0140131	0.0265588	0.00222774	0.027814	0.00305501	0.10621	0.0256683	0.0520472	0.0305512	0.0212185	0.8062057
