Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	tree_length
0	-60.41195	-102.1025	41.69056	0.000678227	0.00437597	0.00249874	0.000773102	0.00333993	0.000490865	0.00080923	0.000245375	0.000533147	0.00271842	0.00201568	0.00142423	2.46627e-05	0.00125979	0.000571298	0.000756809	0.0029019	0.00219728	0.00147054	0.00383208	1.87734e-05	0.000237609	0.00183742	0.00093214	0.0048736	0.00883688	0.00544523	0.00191442	0.00608706	0.0013473	0.000609254	0.00689338	0.000468551	0.00100001	0.00188894	0.37386	1.26089	0.049051	0.22984	0.632087	1.58206	4.35085	20.3869	2.179976	0.1235436	0.00900607	0.0581078	0.0331804	0.0102659	0.0443504	0.00651811	0.0107456	0.00325829	0.00707957	0.0360974	0.0267659	0.0189121	0.000327492	0.0167286	0.00758617	0.0100495	0.0385338	0.0291773	0.019527	0.0508855	0.000249289	0.00315517	0.0243987	0.0123777	0.0647157	0.117343	0.0723063	0.0254212	0.0808291	0.0178905	0.00809019	0.091536	0.00622181	0.0132789	0.0250829	0.07530781
36	-46.45743	-91.00063	44.5432	0.0013165	0.0306799	0.000497988	0.00815349	0.0385744	0.0046313	0.00618904	0.0248769	0.00780346	0.00411801	0.0348753	0.0110765	2.83328e-05	0.0158393	0.00637181	0.00338223	0.00604747	0.0106016	0.000913028	0.0252017	0.0170834	0.0542903	0.00681345	0.0151486	0.00487044	0.000735593	0.012844	0.02121	0.018264	0.0441409	0.00602251	0.0343269	0.00122919	0.00620005	0.00401255	0.0897615	1.37927	0.3276	0.580272	0.843835	1.18507	1.72333	3.0525	0.8069175	0.02711633	0.00269571	0.062821	0.0010197	0.0166953	0.078986	0.00948319	0.0126728	0.0509386	0.0159786	0.00843216	0.0714116	0.0226805	5.80151e-05	0.032433	0.0130471	0.00692555	0.012383	0.0217081	0.00186954	0.0516037	0.0349804	0.111166	0.0139514	0.0310187	0.00997286	0.00150622	0.0262997	0.0434302	0.0373978	0.0903841	0.0123319	0.0702887	0.00251693	0.0126954	0.00821621	0.4883699
72	-49.76251	-93.73506	43.97255	0.0038726	0.00826203	0.00822373	0.0120608	0.0141162	0.000788341	0.0214199	0.0212131	0.0209443	0.00838323	0.00800526	0.0538279	0.00933256	0.0654242	0.00111059	0.0272271	0.0201234	0.00176161	0.00283362	0.0489212	0.013252	0.0207496	0.00729179	0.0185636	0.0547263	0.00309526	0.0133202	0.00192898	0.00501648	0.0340493	0.0286333	0.0656345	0.0353453	0.0720506	0.005111	0.928919	1.02962	0.79044	0.891642	0.964851	1.03643	1.12153	1.26512	0.1700412	0.3759158	0.00525726	0.0112161	0.0111641	0.0163732	0.0191634	0.00107021	0.0290787	0.0287979	0.0284329	0.0113807	0.0108676	0.0730742	0.0126694	0.0888168	0.00150769	0.0369622	0.0273186	0.00239148	0.00384678	0.0664131	0.0179903	0.0281686	0.00989898	0.0252011	0.0742939	0.00420197	0.0180828	0.0026187	0.00681013	0.0462238	0.0388712	0.0891023	0.047983	0.0978125	0.00693845	0.73662
108	-49.99963	-94.03905	44.03943	0.000973338	0.0209859	0.00563923	0.0489013	0.0592615	0.0108792	0.00700833	0.0163277	0.00202139	0.0601394	0.0129139	0.0297837	0.0280295	0.0412773	0.0324653	0.00199381	0.0153103	0.00190254	0.0222816	0.101601	0.0154113	0.0131007	0.021629	0.0461687	0.0121511	0.00209576	0.067082	0.019688	0.0270305	0.0120331	0.00682274	0.00509757	0.00416568	0.0302854	0.0116185	0.439099	1.23371	0.411118	0.648232	0.873501	1.14482	1.54266	2.43239	0.6427181	0.1482992	0.00119564	0.0257788	0.00692715	0.0600697	0.072796	0.0133639	0.00860894	0.0200567	0.00248305	0.0738745	0.0158632	0.0365859	0.0344311	0.0507045	0.0398799	0.00244917	0.0188069	0.00233705	0.0273704	0.124805	0.018931	0.0160927	0.0265687	0.056713	0.0149262	0.0025744	0.0824026	0.0241845	0.0332039	0.0147814	0.00838096	0.00626179	0.00511707	0.0372021	0.0142721	0.814076
144	-56.24653	-99.09165	42.84512	0.00492312	0.00126938	0.00113894	0.00515214	0.00430023	5.85219e-05	0.000184924	0.000718784	0.00128113	0.0162616	0.0039912	0.00196533	0.00084004	0.0287931	0.00760529	0.011036	0.00586105	0.00842179	0.000135245	0.00469391	0.00070709	0.0148845	0.00230133	0.0255161	0.00395249	2.65395e-05	0.00592976	0.00547487	0.00235577	0.0206644	0.0166614	0.00413147	0.018384	0.0108603	0.000212076	0.739267	1.10864	0.146723	0.392192	0.746757	1.33912	2.54977	6.81558	1.387721	0.2778432	0.0204538	0.00527383	0.00473191	0.0214054	0.017866	0.000243138	0.000768295	0.0029863	0.00532265	0.0675613	0.016582	0.00816528	0.00349008	0.119626	0.0315974	0.0458508	0.0243507	0.0349896	0.000561896	0.0195016	0.00293772	0.06184	0.00956123	0.106011	0.0164213	0.000110262	0.0246361	0.0227462	0.00978742	0.0858534	0.0692224	0.0171648	0.0763793	0.0451206	0.000881101	0.2406938
180	-48.34544	-92.15846	43.81302	0.0094603	0.0278937	0.00450024	5.63243e-05	0.0082764	0.00011144	0.0173464	0.00849673	0.00182846	0.0104078	0.000664513	0.00130951	0.00271046	0.0232227	0.0124611	0.00334115	0.00458496	0.00204171	0.00650201	0.0237619	0.00103748	0.000395555	0.0197118	0.0214497	0.00701614	0.00362153	0.000847217	0.00477708	0.0110489	0.00484885	0.00174831	0.0195878	0.0082488	0.00326055	0.00212061	0.619189	1.15867	0.415648	0.651706	0.874959	1.14291	1.53443	2.40588	0.6347937	0.2226651	0.0339446	0.100086	0.0161474	0.000202098	0.0296966	0.000399861	0.0622408	0.0304872	0.00656074	0.0373442	0.00238435	0.00469868	0.00972545	0.0833256	0.0447117	0.0119884	0.0164513	0.00732589	0.02333	0.0852602	0.00372258	0.0014193	0.0707281	0.0769641	0.0251747	0.0129945	0.00303991	0.0171407	0.0396447	0.0173982	0.00627312	0.0702832	0.0295976	0.0116992	0.00760898	0.278698
216	-47.0228	-91.21901	44.19621	0.00383345	0.0081463	0.0120791	0.000484298	0.00338612	7.24022e-05	0.00796488	0.000130189	0.0286901	0.0213667	0.000461641	0.00521674	0.000412402	0.0158689	0.00389155	0.000852307	0.0148848	0.00683166	0.00535561	0.0166872	0.0129856	0.0037565	0.0161492	0.0392604	0.0107576	0.0115706	0.0123472	0.00975475	0.0033668	0.0333888	0.00273341	0.0209535	0.00796332	0.0155054	0.00750638	0.283213	1.29866	0.32721	0.579936	0.843682	1.18528	1.72433	3.05614	0.8077782	0.09086711	0.0105137	0.0223421	0.0331282	0.00132824	0.00928682	0.000198571	0.0218446	0.000357058	0.0786859	0.0586005	0.0012661	0.0143075	0.00113106	0.0435224	0.010673	0.00233755	0.0408234	0.0187366	0.0146884	0.0457665	0.0356144	0.0103026	0.0442911	0.107676	0.0295039	0.0317337	0.0338636	0.0267535	0.00923382	0.0915725	0.00749668	0.0574674	0.0218403	0.0425254	0.0205871	0.3646158
252	-48.61629	-92.83112	44.21483	0.0145512	0.021264	0.0580715	0.0150164	0.0210612	0.000932261	0.00292306	0.00308203	0.016035	0.0380357	0.0154888	0.0161445	0.00205581	0.0688409	0.00178311	0.00837867	0.00201748	0.0294091	0.00575243	0.0626897	0.0658803	0.0211821	0.0283893	0.0696023	0.0165622	0.014774	0.0137722	0.0153563	0.016872	0.0953055	0.0197167	0.0430148	0.00301449	0.012429	0.00409473	0.439983	1.23334	0.542076	0.741824	0.911037	1.09765	1.34803	1.84476	0.4427699	0.1486422	0.017251	0.0252093	0.068846	0.0178025	0.0249689	0.00110523	0.0034654	0.00365386	0.0190101	0.0450927	0.0183626	0.0191399	0.00243724	0.0816136	0.00211394	0.00993323	0.0023918	0.0348656	0.00681972	0.0743211	0.0781036	0.0251121	0.0336566	0.0825162	0.0196351	0.0175151	0.0163275	0.0182055	0.0200024	0.112988	0.0233749	0.0509957	0.0035738	0.014735	0.00485446	0.8434988
288	-55.20241	-99.81164	44.60923	0.0117224	0.00127821	0.00607558	0.043204	0.00220804	0.00859441	0.000186547	0.0066588	0.0188837	0.0352703	0.00950899	0.0603526	0.0538078	0.0492188	0.02571	0.0421662	0.0192203	0.00861184	0.0105649	0.0412303	0.00759262	0.0183907	0.0219546	0.0394003	0.100557	0.00053291	0.0104339	0.0029061	0.0669834	0.0057955	0.0651336	0.0771493	0.0284542	0.0185955	0.038311	0.145837	1.3559	0.57843	0.765683	0.92008	1.08686	1.30602	1.72882	0.3958351	0.04481551	0.0122535	0.00133611	0.00635079	0.0451611	0.00230806	0.00898373	0.000194997	0.00696044	0.0197391	0.036868	0.00993973	0.0630865	0.0562452	0.0514483	0.0268746	0.0440763	0.020091	0.00900194	0.0110434	0.043098	0.00793655	0.0192238	0.0229491	0.041185	0.105112	0.00055705	0.0109065	0.00303774	0.0700176	0.00605803	0.0680841	0.080644	0.0297432	0.0194378	0.0400464	0.9566643
324	-49.31784	-93.76343	44.44559	0.0268134	0.0179058	0.0125355	0.00840349	0.0146867	0.017838	0.000919958	0.0142993	0.00013463	0.0057717	0.00289331	0.0160581	0.00602356	0.0518189	0.0143926	0.0105623	0.0111214	0.00102603	0.00356996	0.00177854	0.00199529	0.00713881	0.0275206	0.00276935	0.0138792	0.0185624	0.00495174	0.00966204	0.0201358	0.011902	0.000730443	0.00765124	0.0398282	0.000570062	0.0200628	0.165567	1.34768	0.340116	0.590981	0.848663	1.17832	1.6921	2.94017	0.7798069	0.05118879	0.0629552	0.0420409	0.0294319	0.0197305	0.0344828	0.0418817	0.00215997	0.0335732	0.000316097	0.0135514	0.0067932	0.0377028	0.0141427	0.121665	0.0337923	0.0247992	0.026112	0.00240901	0.00838191	0.00417584	0.00468474	0.0167612	0.0646155	0.00650214	0.0325869	0.0435826	0.0116262	0.0226855	0.0472768	0.0279447	0.001715	0.0179643	0.0935125	0.00133845	0.0471054	0.4259131
